Geography,Year,Population,CurrentDwellings,DwellingsNeeded,HousingGap
Burlington,2010,178492,66258,74372,8114
Burlington,2011,180868,69813,75362,4549
Burlington,2012,182992,70462,76247,5785
Burlington,2013,184234,71276,76765,5489
Burlington,2014,185405,71587,77252,5665
Burlington,2015,186480,72046,77700,5654
Burlington,2016,188387,72535,78495,5960
Burlington,2017,188899,73048,78791,5743
Burlington,2018,189811,73541,79088,5547
Burlington,2019,191968,73926,79987,6061
Burlington,2020,193217,74398,80507,6109
Burlington,2021,193153,74891,80564,5673
Burlington,2022,194175,74979,80990,8011
Burlington,2023,196589,75187,81912,7725
Burlington,2024,199004,75971,82918,7947
Burlington,2025,201418,76571,83924,8353
Burlington,2026,203833,77221,84930,9709
Burlington,2027,206247,77921,85936,10015
Burlington,2028,208662,78671,86942,8271
Burlington,2029,211076,79471,87948,6477
Burlington,2030,213491,80221,88954,6733
Burlington,2031,215905,81071,89960,7889
Burlington,2032,218320,81921,90966,9045
Burlington,2033,220734,82871,91972,9101
Burlington,2034,223149,83821,92978,9157
Burlington,2035,225563,84821,93984,9163
